,ds,t,trend,seasonal_lower,seasonal_upper,trend_lower,trend_upper,yhat_lower,yhat_upper,yearly,yearly_lower,yearly_upper,seasonal,yhat
0,2012-09-30,0.0,17.027772603492366,-0.43638178185562615,-0.43638178185562615,17.027772603492366,17.027772603492366,10.368067430085024,23.304689195903272,-0.43638178185562615,-0.43638178185562615,-0.43638178185562615,-0.43638178185562615,16.59139082163674
1,2012-10-07,0.0038461538461538464,17.140652784584052,-0.5745844476652779,-0.5745844476652779,17.140652784584052,17.140652784584052,10.07244730031806,22.8411705679979,-0.5745844476652779,-0.5745844476652779,-0.5745844476652779,-0.5745844476652779,16.566068336918775
2,2012-10-14,0.007692307692307693,17.253532965675735,-0.8759310597536483,-0.8759310597536483,17.253532965675735,17.253532965675735,9.860843441097646,23.417417651526172,-0.8759310597536483,-0.8759310597536483,-0.8759310597536483,-0.8759310597536483,16.377601905922088
3,2012-10-21,0.011538461538461539,17.366413146767417,-1.214466739130611,-1.214466739130611,17.366413146767417,17.366413146767417,9.381906986693444,22.531129476141768,-1.214466739130611,-1.214466739130611,-1.214466739130611,-1.214466739130611,16.151946407636807
4,2012-10-28,0.015384615384615385,17.4792933278591,-1.4496891122743025,-1.4496891122743025,17.4792933278591,17.4792933278591,9.7417462173276,22.505071387851295,-1.4496891122743025,-1.4496891122743025,-1.4496891122743025,-1.4496891122743025,16.029604215584797
5,2012-11-04,0.019230769230769232,17.592173508950786,-1.5633517207538112,-1.5633517207538112,17.592173508950786,17.592173508950786,9.414395310248779,22.759200004771593,-1.5633517207538112,-1.5633517207538112,-1.5633517207538112,-1.5633517207538112,16.028821788196975
6,2012-11-11,0.023076923076923078,17.705053690042465,-1.66061463401919,-1.66061463401919,17.705053690042465,17.705053690042465,9.60713222208965,22.551625918300058,-1.66061463401919,-1.66061463401919,-1.66061463401919,-1.66061463401919,16.044439056023275
7,2012-11-18,0.026923076923076925,17.81793387113415,-1.8396197464233894,-1.8396197464233894,17.81793387113415,17.81793387113415,9.652814633854177,23.036429642075756,-1.8396197464233894,-1.8396197464233894,-1.8396197464233894,-1.8396197464233894,15.978314124710762
8,2012-11-25,0.03076923076923077,17.930814052225834,-2.0807004339461757,-2.0807004339461757,17.930814052225834,17.930814052225834,9.638955997395707,22.897481943748986,-2.0807004339461757,-2.0807004339461757,-2.0807004339461757,-2.0807004339461757,15.850113618279659
9,2012-12-02,0.03461538461538462,18.043694232716405,-2.2760110762949326,-2.2760110762949326,18.043694232716405,18.043694232716405,9.308862906921807,21.9279349750751,-2.2760110762949326,-2.2760110762949326,-2.2760110762949326,-2.2760110762949326,15.767683156421473
10,2012-12-09,0.038461538461538464,18.15657441320697,-2.354162977755689,-2.354162977755689,18.15657441320697,18.15657441320697,9.058587675102617,22.27638566453144,-2.354162977755689,-2.354162977755689,-2.354162977755689,-2.354162977755689,15.802411435451283
11,2012-12-16,0.04230769230769231,18.26945459369754,-2.3496623983391762,-2.3496623983391762,18.26945459369754,18.26945459369754,9.55393434090883,22.293476664034124,-2.3496623983391762,-2.3496623983391762,-2.3496623983391762,-2.3496623983391762,15.919792195358362
12,2012-12-23,0.046153846153846156,18.382334774188106,-2.3410627520415925,-2.3410627520415925,18.382334774188106,18.382334774188106,9.63424897828628,22.41094418572771,-2.3410627520415925,-2.3410627520415925,-2.3410627520415925,-2.3410627520415925,16.041272022146515
13,2012-12-30,0.05,18.495214954678673,-2.339610295089213,-2.339610295089213,18.495214954678673,18.495214954678673,10.010264551896663,22.572234399833423,-2.339610295089213,-2.339610295089213,-2.339610295089213,-2.339610295089213,16.15560465958946
14,2013-01-06,0.05384615384615385,18.60809513516924,-2.264626445395408,-2.264626445395408,18.60809513516924,18.60809513516924,10.052713564426853,22.59357279010206,-2.264626445395408,-2.264626445395408,-2.264626445395408,-2.264626445395408,16.343468689773832
15,2013-01-13,0.057692307692307696,18.720975315659814,-2.0354003568248107,-2.0354003568248107,18.720975315659814,18.720975315659814,10.179058191023897,23.46556386945883,-2.0354003568248107,-2.0354003568248107,-2.0354003568248107,-2.0354003568248107,16.685574958835005
16,2013-01-20,0.06153846153846154,18.83385549615038,-1.6730803681238822,-1.6730803681238822,18.83385549615038,18.83385549615038,10.74525064365546,23.436233703723712,-1.6730803681238822,-1.6730803681238822,-1.6730803681238822,-1.6730803681238822,17.1607751280265
17,2013-01-27,0.06538461538461539,18.946735676640948,-1.2970848584362915,-1.2970848584362915,18.946735676640948,18.946735676640948,10.561282690981034,23.985604314022513,-1.2970848584362915,-1.2970848584362915,-1.2970848584362915,-1.2970848584362915,17.649650818204655
18,2013-02-03,0.06923076923076923,19.059615861035155,-1.02071725615241,-1.02071725615241,19.059615861035155,19.059615861035155,11.610213868372735,24.856738889088504,-1.02071725615241,-1.02071725615241,-1.02071725615241,-1.02071725615241,18.038898604882746
19,2013-02-10,0.07307692307692308,19.17249604542936,-0.8569502647428453,-0.8569502647428453,19.17249604542936,19.17249604542936,11.504035558940025,25.225841362871364,-0.8569502647428453,-0.8569502647428453,-0.8569502647428453,-0.8569502647428453,18.315545780686513
20,2013-02-17,0.07692307692307693,19.28537622982357,-0.7239923111497418,-0.7239923111497418,19.28537622982357,19.28537622982357,12.257201051669773,24.80972758590934,-0.7239923111497418,-0.7239923111497418,-0.7239923111497418,-0.7239923111497418,18.561383918673826
21,2013-02-24,0.08076923076923077,19.398256414217776,-0.5299279696202727,-0.5299279696202727,19.398256414217776,19.398256414217776,11.933529743753157,24.898122650019303,-0.5299279696202727,-0.5299279696202727,-0.5299279696202727,-0.5299279696202727,18.868328444597505
22,2013-03-03,0.08461538461538462,19.511136598611984,-0.24518833270737084,-0.24518833270737084,19.511136598611984,19.511136598611984,12.82637314177235,25.903743244321294,-0.24518833270737084,-0.24518833270737084,-0.24518833270737084,-0.24518833270737084,19.265948265904612
23,2013-03-10,0.08846153846153847,19.62401678300619,0.09454335651251779,0.09454335651251779,19.62401678300619,19.62401678300619,12.92963669750448,25.796641539977262,0.09454335651251779,0.09454335651251779,0.09454335651251779,0.09454335651251779,19.718560139518708
24,2013-03-17,0.09230769230769231,19.736896967400394,0.43259166365213875,0.43259166365213875,19.736896967400394,19.736896967400394,13.783338833071701,26.326514973065226,0.43259166365213875,0.43259166365213875,0.43259166365213875,0.43259166365213875,20.169488631052534
25,2013-03-24,0.09615384615384616,19.849777151794605,0.7278072107433834,0.7278072107433834,19.849777151794605,19.849777151794605,13.868590022467066,26.973463010807954,0.7278072107433834,0.7278072107433834,0.7278072107433834,0.7278072107433834,20.577584362537987
26,2013-03-31,0.1,19.96265733585374,0.961491555856128,0.961491555856128,19.96265733585374,19.96265733585374,15.21433958254292,27.85710126527251,0.961491555856128,0.961491555856128,0.961491555856128,0.961491555856128,20.92414889170987
27,2013-04-07,0.10384615384615385,20.075537519912874,1.1332852460192244,1.1332852460192244,20.075537519912874,20.075537519912874,14.737887983514034,27.73246619722927,1.1332852460192244,1.1332852460192244,1.1332852460192244,1.1332852460192244,21.208822765932098
28,2013-04-14,0.1076923076923077,20.18841770397201,1.2641617227229487,1.2641617227229487,20.18841770397201,20.18841770397201,14.904215566796227,27.315673873333026,1.2641617227229487,1.2641617227229487,1.2641617227229487,1.2641617227229487,21.45257942669496
29,2013-04-21,0.11153846153846154,20.301297888031147,1.3989763782931368,1.3989763782931368,20.30129788803115,20.30129788803115,15.548241902183667,28.017106845653128,1.3989763782931368,1.3989763782931368,1.3989763782931368,1.3989763782931368,21.700274266324286
30,2013-04-28,0.11538461538461539,20.41417807209028,1.592691873687355,1.592691873687355,20.41417807209028,20.41417807209028,15.899318691027247,28.525284474716077,1.592691873687355,1.592691873687355,1.592691873687355,1.592691873687355,22.006869945777634
31,2013-05-05,0.11923076923076924,20.527058256149417,1.8819965118076785,1.8819965118076785,20.527058256149417,20.527058256149417,15.763129234514913,28.71263773384029,1.8819965118076785,1.8819965118076785,1.8819965118076785,1.8819965118076785,22.409054767957095
32,2013-05-12,0.12307692307692308,20.63993844020855,2.2598798891654797,2.2598798891654797,20.63993844020855,20.63993844020855,16.437708420520796,29.21686413315839,2.2598798891654797,2.2598798891654797,2.2598798891654797,2.2598798891654797,22.89981832937403
33,2013-05-19,0.12692307692307692,20.752818624267682,2.6673552157457108,2.6673552157457108,20.752818624267682,20.752818624267682,16.48113687438125,29.78971822797656,2.6673552157457108,2.6673552157457108,2.6673552157457108,2.6673552157457108,23.420173840013394
34,2013-05-26,0.13076923076923078,20.882055798860915,3.006874550233944,3.006874550233944,20.882055798860915,20.882055798860915,17.462011840055062,30.501557338719913,3.006874550233944,3.006874550233944,3.006874550233944,3.006874550233944,23.88893034909486
35,2013-06-02,0.1346153846153846,21.01129297345414,3.1789520059651326,3.1789520059651326,21.01129297345414,21.01129297345414,17.69658968985668,30.738613924578633,3.1789520059651326,3.1789520059651326,3.1789520059651326,3.1789520059651326,24.190244979419273
36,2013-06-09,0.13846153846153847,21.140530148047368,3.1351979121639193,3.1351979121639193,21.140530148047368,21.140530148047368,17.705691118370797,30.2739199539282,3.1351979121639193,3.1351979121639193,3.1351979121639193,3.1351979121639193,24.275728060211286
37,2013-06-16,0.1423076923076923,21.269767322640593,2.916872105613428,2.916872105613428,21.269767322640593,21.269767322640593,18.015510167321597,30.703180365885068,2.916872105613428,2.916872105613428,2.916872105613428,2.916872105613428,24.186639428254022
38,2013-06-23,0.14615384615384616,21.399004497233825,2.6346434224964677,2.6346434224964677,21.399004497233825,21.399004497233825,18.403814859811522,30.535510265916894,2.6346434224964677,2.6346434224964677,2.6346434224964677,2.6346434224964677,24.033647919730292
39,2013-06-30,0.15,21.52824167182705,2.3819725321848852,2.3819725321848852,21.52824167182705,21.52824167182705,17.087612303997272,30.499922285485855,2.3819725321848852,2.3819725321848852,2.3819725321848852,2.3819725321848852,23.910214204011936
40,2013-07-07,0.15384615384615385,21.65747884642028,2.1470554010723832,2.1470554010723832,21.65747884642028,21.65747884642028,17.710056443985447,30.376927315742172,2.147055401072383,2.147055401072383,2.147055401072383,2.147055401072383,23.80453424749266
41,2013-07-14,0.1576923076923077,21.786716021013508,1.8167222283543338,1.8167222283543338,21.786716021013508,21.786716021013508,17.519070147704475,29.850101282081585,1.8167222283543338,1.8167222283543338,1.8167222283543338,1.8167222283543338,23.60343824936784
42,2013-07-21,0.16153846153846155,21.915953195606733,1.2922215516511564,1.2922215516511564,21.915953195606733,21.915953195606733,16.767374954523124,29.624020121707744,1.2922215516511566,1.2922215516511566,1.2922215516511566,1.2922215516511566,23.20817474725789
43,2013-07-28,0.16538461538461538,22.047535861153122,0.616730288955644,0.616730288955644,22.047535861153122,22.047535861153122,16.077010936618922,29.16426474509281,0.616730288955644,0.616730288955644,0.616730288955644,0.616730288955644,22.664266150108766
44,2013-08-04,0.16923076923076924,22.179118526699515,-0.0198726837307692,-0.0198726837307692,22.179118526699515,22.179118526699515,16.521343959673537,28.805839971742014,-0.0198726837307692,-0.0198726837307692,-0.0198726837307692,-0.0198726837307692,22.159245842968748
45,2013-08-11,0.17307692307692307,22.310701192245904,-0.42211315731952265,-0.42211315731952265,22.310701192245904,22.310701192245904,15.512337663738165,28.356752210853358,-0.42211315731952265,-0.42211315731952265,-0.42211315731952265,-0.42211315731952265,21.888588034926382
46,2013-08-18,0.17692307692307693,22.442283857792294,-0.545785186981723,-0.545785186981723,22.442283857792294,22.442283857792294,15.39477403911588,28.086244040810442,-0.545785186981723,-0.545785186981723,-0.545785186981723,-0.545785186981723,21.896498670810573
47,2013-08-25,0.18076923076923077,22.573866523338683,-0.5147689370011069,-0.5147689370011069,22.573866523338683,22.573866523338683,15.871220115768795,28.53594943768242,-0.5147689370011069,-0.5147689370011069,-0.5147689370011069,-0.5147689370011069,22.059097586337575
48,2013-09-01,0.18461538461538463,22.705449188885076,-0.484905906679826,-0.484905906679826,22.705449188885076,22.705449188885076,15.827338220009738,28.549250146048184,-0.484905906679826,-0.484905906679826,-0.484905906679826,-0.484905906679826,22.22054328220525
49,2013-09-08,0.18846153846153846,22.837031854431466,-0.5032159569946838,-0.5032159569946838,22.837031854431466,22.837031854431466,15.859384093367263,28.708999123983993,-0.5032159569946838,-0.5032159569946838,-0.5032159569946838,-0.5032159569946838,22.333815897436782
50,2013-09-15,0.19230769230769232,22.968614519977855,-0.5094913051838071,-0.5094913051838071,22.968614519977855,22.968614519977855,16.46031236119766,29.164519279428788,-0.5094913051838071,-0.5094913051838071,-0.5094913051838071,-0.5094913051838071,22.459123214794047
51,2013-09-22,0.19615384615384615,23.10019720368419,-0.46232540205568107,-0.46232540205568107,23.10019720368419,23.10019720368419,16.174182672608158,28.790667424216416,-0.46232540205568107,-0.46232540205568107,-0.46232540205568107,-0.46232540205568107,22.637871801628506
52,2013-09-29,0.2,23.231779887390523,-0.43050003688552807,-0.43050003688552807,23.231779887390523,23.231779887390523,15.89854725708549,29.038171289640633,-0.43050003688552807,-0.43050003688552807,-0.43050003688552807,-0.43050003688552807,22.801279850504994
