,ds,t,trend,seasonal_lower,seasonal_upper,trend_lower,trend_upper,yhat_lower,yhat_upper,yearly,yearly_lower,yearly_upper,seasonal,yhat
0,2012-09-30,0.0,8.213687770906963,0.02949127987572202,0.02949127987572202,8.213687770906963,8.213687770906963,6.642938471508805,9.873961757747248,0.02949127987572202,0.02949127987572202,0.02949127987572202,0.02949127987572202,8.243179050782686
1,2012-10-07,0.0038461538461538464,8.250387644894724,0.07314639298206273,0.07314639298206273,8.250387644894724,8.250387644894724,6.705902670852931,9.849025607659575,0.07314639298206273,0.07314639298206273,0.07314639298206273,0.07314639298206273,8.323534037876787
2,2012-10-14,0.007692307692307693,8.287087518882487,0.14583971693507322,0.14583971693507322,8.287087518882487,8.287087518882487,6.7887675597812835,9.953298524412741,0.14583971693507322,0.14583971693507322,0.14583971693507322,0.14583971693507322,8.43292723581756
3,2012-10-21,0.011538461538461539,8.323787392870248,0.1888937788369018,0.1888937788369018,8.323787392870248,8.323787392870248,6.931417809576667,10.079974178505973,0.1888937788369018,0.1888937788369018,0.1888937788369018,0.1888937788369018,8.512681171707149
4,2012-10-28,0.015384615384615385,8.360487266858009,0.16669311436370454,0.16669311436370454,8.360487266858009,8.360487266858009,6.886322805731226,10.1313465293322,0.16669311436370454,0.16669311436370454,0.16669311436370454,0.16669311436370454,8.527180381221713
5,2012-11-04,0.019230769230769232,8.39718714084577,0.08471409704904562,0.08471409704904562,8.39718714084577,8.39718714084577,6.860487960001467,10.058585368900474,0.08471409704904562,0.08471409704904562,0.08471409704904562,0.08471409704904562,8.481901237894816
6,2012-11-11,0.023076923076923078,8.433887014833532,-0.025387105664625122,-0.025387105664625122,8.433887014833532,8.433887014833532,6.887887629718675,10.029798030193607,-0.025387105664625122,-0.025387105664625122,-0.025387105664625122,-0.025387105664625122,8.408499909168906
7,2012-11-18,0.026923076923076925,8.470586888821293,-0.1383141513294921,-0.1383141513294921,8.470586888821293,8.470586888821293,6.722102917720134,10.028985994432897,-0.1383141513294921,-0.1383141513294921,-0.1383141513294921,-0.1383141513294921,8.3322727374918
8,2012-11-25,0.03076923076923077,8.507286762809054,-0.25532119920172436,-0.25532119920172436,8.507286762809054,8.507286762809054,6.647165303499164,9.9016689733412,-0.25532119920172436,-0.25532119920172436,-0.25532119920172436,-0.25532119920172436,8.25196556360733
9,2012-12-02,0.03461538461538462,8.543986635162142,-0.39608026143692576,-0.39608026143692576,8.543986635162142,8.543986635162142,6.549467416370572,9.740209734579464,-0.3960802614369257,-0.3960802614369257,-0.3960802614369257,-0.3960802614369257,8.147906373725217
10,2012-12-09,0.038461538461538464,8.58068650751523,-0.5739930035618905,-0.5739930035618905,8.58068650751523,8.58068650751523,6.421208277542068,9.565921588893318,-0.5739930035618905,-0.5739930035618905,-0.5739930035618905,-0.5739930035618905,8.00669350395334
11,2012-12-16,0.04230769230769231,8.61738637986832,-0.7800984883164553,-0.7800984883164553,8.61738637986832,8.61738637986832,6.281869389873751,9.41717682755173,-0.7800984883164553,-0.7800984883164553,-0.7800984883164553,-0.7800984883164553,7.837287891551864
12,2012-12-23,0.046153846153846156,8.65408625222141,-0.9882640772541622,-0.9882640772541622,8.65408625222141,8.65408625222141,6.0835787045064444,9.26423618875249,-0.9882640772541622,-0.9882640772541622,-0.9882640772541622,-0.9882640772541622,7.665822174967247
13,2012-12-30,0.05,8.690786124574498,-1.171786495210532,-1.171786495210532,8.690786124574498,8.690786124574498,5.986247455234621,9.124037207286209,-1.171786495210532,-1.171786495210532,-1.171786495210532,-1.171786495210532,7.518999629363965
14,2013-01-06,0.05384615384615385,8.727485996927586,-1.3130139092183903,-1.3130139092183903,8.727485996927586,8.727485996927586,5.679275190933568,8.99501420341553,-1.3130139092183903,-1.3130139092183903,-1.3130139092183903,-1.3130139092183903,7.414472087709195
15,2013-01-13,0.057692307692307696,8.764185869280674,-1.3997251787445144,-1.3997251787445144,8.764185869280674,8.764185869280674,5.741128321781054,8.936187122648453,-1.3997251787445144,-1.3997251787445144,-1.3997251787445144,-1.3997251787445144,7.364460690536159
16,2013-01-20,0.06153846153846154,8.800885741633762,-1.418925067646373,-1.418925067646373,8.800885741633762,8.800885741633762,5.737496902492577,8.990960010640975,-1.418925067646373,-1.418925067646373,-1.418925067646373,-1.418925067646373,7.381960673987389
17,2013-01-27,0.06538461538461539,8.837585613986851,-1.3611959593951486,-1.3611959593951486,8.837585613986851,8.837585613986851,5.789137041666497,9.140743513267456,-1.3611959593951486,-1.3611959593951486,-1.3611959593951486,-1.3611959593951486,7.476389654591703
18,2013-02-03,0.06923076923076923,8.874285486864869,-1.2346536377376223,-1.2346536377376223,8.874285486864869,8.874285486864869,6.028635317259502,9.109750648125367,-1.2346536377376223,-1.2346536377376223,-1.2346536377376223,-1.2346536377376223,7.639631849127246
19,2013-02-10,0.07307692307692308,8.910985359742886,-1.0727477149784046,-1.0727477149784046,8.910985359742886,8.910985359742886,6.26989770810055,9.405083881630583,-1.0727477149784046,-1.0727477149784046,-1.0727477149784046,-1.0727477149784046,7.838237644764481
20,2013-02-17,0.07692307692307693,8.947685232620904,-0.9213295887178106,-0.9213295887178106,8.947685232620904,8.947685232620904,6.417984959133975,9.620206708227768,-0.9213295887178105,-0.9213295887178105,-0.9213295887178105,-0.9213295887178105,8.026355643903093
21,2013-02-24,0.08076923076923077,8.984385105498921,-0.8085900043183097,-0.8085900043183097,8.984385105498921,8.984385105498921,6.628048337653689,9.783917638380045,-0.8085900043183097,-0.8085900043183097,-0.8085900043183097,-0.8085900043183097,8.175795101180611
22,2013-03-03,0.08461538461538462,9.021084978376939,-0.7209062717824865,-0.7209062717824865,9.021084978376939,9.021084978376939,6.690777790756627,9.994254817459954,-0.7209062717824865,-0.7209062717824865,-0.7209062717824865,-0.7209062717824865,8.300178706594453
23,2013-03-10,0.08846153846153847,9.057784851254956,-0.6094088048857748,-0.6094088048857748,9.057784851254956,9.057784851254956,6.837111581704607,10.02855311457422,-0.6094088048857748,-0.6094088048857748,-0.6094088048857748,-0.6094088048857748,8.448376046369182
24,2013-03-17,0.09230769230769231,9.094484724132972,-0.4304093617246836,-0.4304093617246836,9.094484724132972,9.094484724132972,7.0468912178610195,10.199939489826292,-0.4304093617246836,-0.4304093617246836,-0.4304093617246836,-0.4304093617246836,8.664075362408289
25,2013-03-24,0.09615384615384616,9.131184597010991,-0.19213790731310956,-0.19213790731310956,9.131184597010991,9.131184597010991,7.4677636791880815,10.463125214715543,-0.19213790731310956,-0.19213790731310956,-0.19213790731310956,-0.19213790731310956,8.939046689697882
