,ds,t,trend,seasonal_lower,seasonal_upper,trend_lower,trend_upper,yhat_lower,yhat_upper,yearly,yearly_lower,yearly_upper,seasonal,yhat
0,2012-01-01,0.0,70.30306281268612,-11.132651997690175,-11.132651997690175,70.30306281268612,70.30306281268612,43.816090835109584,75.86360611753584,-11.132651997690175,-11.132651997690175,-11.132651997690175,-11.132651997690175,59.17041081499595
1,2012-01-08,0.0033444816053511705,70.26742898475366,-11.276611043230236,-11.276611043230236,70.26742898475366,70.26742898475366,43.75177147037282,75.154784433911,-11.276611043230234,-11.276611043230234,-11.276611043230234,-11.276611043230234,58.99081794152343
2,2012-01-15,0.006688963210702341,70.23179515682119,-12.13423564620284,-12.13423564620284,70.23179515682119,70.23179515682119,41.225094077091896,73.75949283204066,-12.13423564620284,-12.13423564620284,-12.13423564620284,-12.13423564620284,58.09755951061835
3,2012-01-22,0.010033444816053512,70.19616132888873,-13.96017002248919,-13.96017002248919,70.19616132888873,70.19616132888873,41.154533274947134,72.5928581286452,-13.96017002248919,-13.96017002248919,-13.96017002248919,-13.96017002248919,56.23599130639954
4,2012-01-29,0.013377926421404682,70.16052750095628,-16.359159153877272,-16.359159153877272,70.16052750095628,70.16052750095628,37.07452227143693,69.19404286984079,-16.359159153877272,-16.359159153877272,-16.359159153877272,-16.359159153877272,53.801368347079006
5,2012-02-05,0.016722408026755852,70.12489367302382,-18.418466411520345,-18.418466411520345,70.12489367302382,70.12489367302382,36.490083072446154,67.09914095679272,-18.418466411520345,-18.418466411520345,-18.418466411520345,-18.418466411520345,51.70642726150348
6,2012-02-12,0.020066889632107024,70.08925984509135,-19.425596605187966,-19.425596605187966,70.08925984509135,70.08925984509135,34.16077776639784,66.09340815156985,-19.425596605187966,-19.425596605187966,-19.425596605187966,-19.425596605187966,50.663663239903386
7,2012-02-19,0.023411371237458192,70.05362601715889,-19.382883511096374,-19.382883511096374,70.05362601715889,70.05362601715889,34.028047134163266,66.38724678052618,-19.382883511096374,-19.382883511096374,-19.382883511096374,-19.382883511096374,50.67074250606252
8,2012-02-26,0.026755852842809364,70.01799218922643,-18.694924333681627,-18.694924333681627,70.01799218922643,70.01799218922643,35.64760432853987,66.82913225088495,-18.694924333681627,-18.694924333681627,-18.694924333681627,-18.694924333681627,51.32306785554481
9,2012-03-04,0.030100334448160536,69.98235836129398,-17.35800483087364,-17.35800483087364,69.98235836129398,69.98235836129398,37.44863140182547,67.43610095081169,-17.35800483087364,-17.35800483087364,-17.35800483087364,-17.35800483087364,52.624353530420336
10,2012-03-11,0.033444816053511704,69.9467245333615,-14.615580611131072,-14.615580611131072,69.9467245333615,69.9467245333615,40.86281638833973,70.27065744693195,-14.615580611131072,-14.615580611131072,-14.615580611131072,-14.615580611131072,55.33114392223043
11,2012-03-18,0.03678929765886288,69.91109070558493,-9.590258869124492,-9.590258869124492,69.91109070558493,69.91109070558493,45.093022740294224,76.77626765380094,-9.590258869124492,-9.590258869124492,-9.590258869124492,-9.590258869124492,60.320831836460435
12,2012-03-25,0.04013377926421405,69.87545687780835,-2.3394508190555645,-2.3394508190555645,69.87545687780835,69.87545687780835,51.739923959851176,83.04826370285362,-2.3394508190555645,-2.3394508190555645,-2.3394508190555645,-2.3394508190555645,67.53600605875278
13,2012-04-01,0.043478260869565216,69.83982305003175,5.725883873963779,5.725883873963779,69.83982305003175,69.83982305003175,60.04772250250453,90.12077834350974,5.725883873963779,5.725883873963779,5.725883873963779,5.725883873963779,75.56570692399553
14,2012-04-08,0.046822742474916385,69.80418922225518,12.540076688116349,12.540076688116349,69.80418922225518,69.80418922225518,67.01258956480252,98.31201027693353,12.540076688116349,12.540076688116349,12.540076688116349,12.540076688116349,82.34426591037152
15,2012-04-15,0.05016722408026756,69.7685553944786,16.642697813531413,16.642697813531413,69.7685553944786,69.7685553944786,70.16863249622843,101.64494737824273,16.642697813531413,16.642697813531413,16.642697813531413,16.642697813531413,86.41125320801001
16,2012-04-22,0.05351170568561873,69.73292156670202,17.97499259616196,17.97499259616196,69.732921566702,69.732921566702,71.73413440988243,102.79584537358397,17.97499259616196,17.97499259616196,17.97499259616196,17.97499259616196,87.70791416286397
17,2012-04-29,0.056856187290969896,69.69728773892544,17.64469869386381,17.64469869386381,69.69728773892544,69.69728773892544,72.54649327640124,103.11438255488655,17.64469869386381,17.64469869386381,17.64469869386381,17.64469869386381,87.34198643278924
18,2012-05-06,0.06020066889632107,69.66165391114886,16.952028289135043,16.952028289135043,69.66165391114886,69.66165391114886,71.04409128706696,102.94064583754133,16.952028289135043,16.952028289135043,16.952028289135043,16.952028289135043,86.6136822002839
19,2012-05-13,0.06354515050167224,69.62602008337228,16.499534294898133,16.499534294898133,69.62602008337228,69.62602008337228,71.52527711641831,103.25046835502945,16.499534294898133,16.499534294898133,16.499534294898133,16.499534294898133,86.12555437827041
20,2012-05-20,0.06688963210702341,69.5903862551928,16.090530482063134,16.090530482063134,69.5903862551928,69.5903862551928,70.81930870971178,101.48315913249473,16.090530482063134,16.090530482063134,16.090530482063134,16.090530482063134,85.68091673725593
21,2012-05-27,0.07023411371237458,69.55475242701331,15.50754451557411,15.50754451557411,69.55475242701331,69.55475242701331,69.83234710271971,102.05386093518737,15.50754451557411,15.50754451557411,15.50754451557411,15.50754451557411,85.06229694258742
22,2012-06-03,0.07357859531772576,69.51911859883383,15.53072986790698,15.53072986790698,69.51911859883383,69.51911859883383,69.77926780107593,101.2501038880267,15.53072986790698,15.53072986790698,15.53072986790698,15.53072986790698,85.04984846674081
23,2012-06-10,0.07692307692307693,69.48348477065436,18.17780229718129,18.17780229718129,69.48348477065436,69.48348477065436,72.5491474474945,103.22572491047399,18.17780229718129,18.17780229718129,18.17780229718129,18.17780229718129,87.66128706783564
24,2012-06-17,0.0802675585284281,69.44785094247487,25.549454416224606,25.549454416224606,69.44785094247487,69.44785094247487,79.80674009292564,110.41222293352722,25.549454416224606,25.549454416224606,25.549454416224606,25.549454416224606,94.99730535869948
25,2012-06-24,0.08361204013377926,69.41221711429539,37.815379065009296,37.815379065009296,69.41221711429539,69.41221711429539,92.49678646023523,122.41735422369541,37.815379065009296,37.815379065009296,37.815379065009296,37.815379065009296,107.22759617930468
26,2012-07-01,0.08695652173913043,69.3765832861159,51.94873436271288,51.94873436271288,69.3765832861159,69.3765832861159,105.46159593292754,135.75449508766766,51.94873436271288,51.94873436271288,51.94873436271288,51.94873436271288,121.32531764882879
27,2012-07-08,0.0903010033444816,69.34094945793643,62.65940541427109,62.65940541427109,69.34094945793643,69.34094945793643,117.3965786562362,147.2995172183645,62.65940541427109,62.65940541427109,62.65940541427109,62.65940541427109,132.00035487220754
28,2012-07-15,0.09364548494983277,69.30531562975695,65.31773825129977,65.31773825129977,69.30531562975695,69.30531562975695,118.04196936938048,151.18224177937637,65.31773825129977,65.31773825129977,65.31773825129977,65.31773825129977,134.6230538810567
